PredictedProbability|PredictedLabel
0.480489|0
0.607314|1
0.578572|1
0.495044|0
0.536811|1
0.528634|1
0.521589|1
0.462867|0
0.459796|0
0.461243|0
0.531975|1
0.454398|0
0.242848|0
0.373826|0
0.394666|0
0.36734|0
0.36211|0
0.335036|0
0.328919|0
0.337482|0
0.323112|0
0.337999|0
0.340604|0
0.335813|0
0.322492|0
0.397805|0
0.333166|0
0.340677|0
0.382482|0
0.480551|0
0.377205|0
0.367169|0
0.33567|0
0.409256|0
0.336677|0
0.32257|0
0.242692|0
0.372382|0
0.356251|0
0.332149|0
0.328844|0
0.339378|0
0.32875|0
0.316003|0
0.349502|0
0.376793|0
0.361424|0
