PredictedProbability|PredictedLabel
0.588562|1
0.45493|0
0.553443|1
0.545183|1
0.308635|0
0.271748|0
0.381685|0
0.377545|0
0.370541|0
0.377573|0
0.370869|0
0.333262|0
0.346347|0
0.370333|0
0.361892|0
0.302058|0
0.335999|0
0.388151|0
0.371058|0
0.35083|0
0.407786|0
0.409639|0
0.391876|0
0.326514|0
0.31053|0
0.333352|0
0.418621|0
0.366761|0
0.347983|0
0.354435|0
0.373923|0
0.409148|0
0.395841|0
0.348572|0
0.249917|0
0.339749|0
0.380274|0
0.352479|0
0.335196|0
0.330243|0
0.540293|1
0.476819|0
0.453159|0
0.483379|0
0.628865|1
0.527315|1
0.538462|1
0.649262|1
0.589775|1
0.529103|1
0.596457|1
0.60171|1
0.709574|1
0.717828|1
